"playerID","tmID","GP","minutes","points","oRebounds","dRebounds","rebounds","assists","steals","blocks","turnovers","PF","fgAttempted","fgMade","ftAttempted","ftMade","threeAttempted","threeMade","center","forward","guard","allstar","minutesPerGame","pointsPerGame","assistsPerGame","oReboundsPerGame","dReboundsPerGame","reboundsPerGame","stealsPerGame","blocksPerGame","turnoversPerGame","fgAttemptedPerGame","fgMadePerGame","ftAttemptedPerGame","ftMadePerGame","threeAttemptedPerGame","threeMadePerGame","GPRatio","healthy","lgPoints","lgAssists","lgRebounds","lgDRebounds","lgORebounds","tmPoints","tmAssists","tmRebounds","tmDRebounds","tmORebounds","ftPct","fgPct","threePct","efgPct","astTovRatio","dReboundPct","oReboundPct","totalGameScore","avgGameScore"
"Alex Abrines","OKC",31,588,165,5,43,48,20,17,6,14,53,157,56,13,12,127,41,0,0,1,0,18.9677419354839,5.32258064516129,0.645161290322581,0.161290322580645,1.38709677419355,1.54838709677419,0.548387096774194,0.193548387096774,0.451612903225806,5.06451612903226,1.80645161290323,0.419354838709677,0.387096774193548,4.09677419354839,1.32258064516129,0.378048780487805,0,0.000528118298498864,0.000293263732074254,0.000376390881930885,0.000436583681923405,0.000172205958326158,0.0175775007989773,0.0104329681794471,0.0121765601217656,0.0147715561662659,0.00484966052376334,0.923076923076923,0.356687898089172,0.322834645669291,0.487261146496815,1.42857142857143,0.895833333333333,0.104166666666667,109.9,3.54516129032258
"Quincy Acy","PHO",10,123,17,3,22,25,8,1,4,4,24,18,4,10,7,15,2,0,1,0,0,12.3,1.7,0.8,0.3,2.2,2.5,0.1,0.4,0.4,1.8,0.4,1,0.7,1.5,0.2,0.121951219512195,0,5.4412188330186e-05,0.000117305492829702,0.000196036917672336,0.000223368395402672,0.000103323574995695,0.00192853091321611,0.00408788962698007,0.00755058894593778,0.00858369098712446,0.00401069518716578,0.7,0.222222222222222,0.133333333333333,0.277777777777778,2,0.88,0.12,10.1,1.01
"Jaylen Adams","ATL",34,428,108,11,49,60,65,14,5,28,45,110,38,9,7,74,25,0,0,1,0,12.5882352941176,3.17647058823529,1.91176470588235,0.323529411764706,1.44117647058824,1.76470588235294,0.411764705882353,0.147058823529412,0.823529411764706,3.23529411764706,1.11764705882353,0.264705882352941,0.205882352941176,2.17647058823529,0.735294117647059,0.414634146341463,0,0.000345677431744711,0.000953107129241327,0.000470488602413607,0.000497502335215043,0.000378853108317548,0.0116204002582311,0.0306893295561851,0.0158730158730159,0.0173451327433628,0.0115183246073298,0.777777777777778,0.345454545454545,0.337837837837838,0.459090909090909,2.32142857142857,0.816666666666667,0.183333333333333,94.8,2.78823529411765
"Steven Adams","OKC",80,2669,1108,391,369,760,124,117,76,135,204,809,481,292,146,2,0,1,0,0,0,33.3625,13.85,1.55,4.8875,4.6125,9.5,1.4625,0.95,1.6875,10.1125,6.0125,3.65,1.825,0.025,0,0.975609756097561,1,0.00354639439234388,0.00181823513886038,0.00595952229723902,0.00374649717743573,0.0134665059411056,0.118035581122829,0.0646844027125717,0.192795535261289,0.126760563380282,0.379243452958293,0.5,0.594561186650185,0,0.594561186650185,0.918518518518519,0.485526315789474,0.514473684210526,1100.5,13.75625
"Bam Adebayo","MIA",82,1913,729,165,432,597,184,71,65,121,203,486,280,226,166,15,3,1,0,0,0,23.3292682926829,8.89024390243902,2.24390243902439,2.01219512195122,5.26829268292683,7.28048780487805,0.865853658536585,0.792682926829268,1.47560975609756,5.92682926829268,3.41463414634146,2.75609756097561,2.02439024390244,0.182926829268293,0.0365853658536585,1,1,0.0023333226642768,0.00269802633508314,0.00468136159401538,0.00438614303699793,0.00568279662476322,0.0841024457775727,0.0924158714213963,0.157105263157895,0.150052101424106,0.179153094462541,0.734513274336283,0.576131687242798,0.2,0.579218106995885,1.52066115702479,0.723618090452261,0.276381909547739,766.2,9.34390243902439
"Deng Adel","CLE",19,194,32,3,16,19,5,1,4,6,13,36,11,4,4,23,6,0,1,0,0,10.2105263157895,1.68421052631579,0.263157894736842,0.157894736842105,0.842105263157895,1,0.0526315789473684,0.210526315789474,0.315789473684211,1.89473684210526,0.578947368421053,0.210526315789474,0.210526315789474,1.21052631578947,0.315789473684211,0.231707317073171,0,0.000102422942739174,7.33159330185636e-05,0.000148988057430975,0.000162449742111034,0.000103323574995695,0.00373526321932999,0.00294464075382803,0.005431675242996,0.00610920198549065,0.00341296928327645,1,0.305555555555556,0.260869565217391,0.388888888888889,0.833333333333333,0.842105263157895,0.157894736842105,16.6,0.873684210526316
"DeVaughn Akoon-Purcell","DEN",7,22,7,1,3,4,6,2,0,2,4,10,3,2,1,4,0,0,0,1,0,3.14285714285714,1,0.857142857142857,0.142857142857143,0.428571428571429,0.571428571428571,0.285714285714286,0,0.285714285714286,1.42857142857143,0.428571428571429,0.285714285714286,0.142857142857143,0.571428571428571,0,0.0853658536585366,0,2.24050187241942e-05,8.79791196222763e-05,3.13659068275738e-05,3.04593266458189e-05,3.44411916652316e-05,0.000771349862258953,0.00267260579064588,0.0010515247108307,0.00105932203389831,0.00102880658436214,0.5,0.3,0,0.3,3,0.75,0.25,5,0.714285714285714
"LaMarcus Aldridge","SAS",81,2687,1727,251,493,744,194,43,107,144,179,1319,684,412,349,42,10,1,0,0,1,33.1728395061728,21.320987654321,2.39506172839506,3.09876543209877,6.08641975308642,9.18518518518519,0.530864197530864,1.32098765432099,1.77777777777778,16.2839506172839,8.44444444444444,5.08641975308642,4.30864197530864,0.518518518518518,0.123456790123457,0.98780487804878,1,0.00552763819095477,0.00284465820112027,0.00583405866992872,0.00500548267879625,0.00864473910797314,0.188619484491044,0.0963735717834078,0.202890646304881,0.169415807560137,0.331571994715984,0.847087378640777,0.518574677786202,0.238095238095238,0.522365428354814,1.34722222222222,0.662634408602151,0.337365591397849,1417.8,17.5037037037037
"Rawle Alkins","CHI",10,120,37,11,15,26,13,1,0,8,7,39,13,12,8,12,3,0,0,1,0,12,3.7,1.3,1.1,1.5,2.6,0.1,0,0.8,3.9,1.3,1.2,0.8,1.2,0.3,0.121951219512195,0,0.000118426527542169,0.000190621425848265,0.000203878394379229,0.000152296633229095,0.000378853108317548,0.00429982568274259,0.00723830734966592,0.00739266420244527,0.00535905680600214,0.0153203342618384,0.666666666666667,0.333333333333333,0.25,0.371794871794872,1.625,0.576923076923077,0.423076923076923,26,2.6
"Grayson Allen","UTA",38,416,211,3,20,23,25,6,6,33,47,178,67,60,45,99,32,0,0,1,0,10.9473684210526,5.55263157894737,0.657894736842105,0.0789473684210526,0.526315789473684,0.605263157894737,0.157894736842105,0.157894736842105,0.868421052631579,4.68421052631579,1.76315789473684,1.57894736842105,1.18421052631579,2.60526315789474,0.842105263157895,0.463414634146341,0,0.000675351278686426,0.000366579665092818,0.000180353964258549,0.000203062177638793,0.000103323574995695,0.0230324200414802,0.0117205813408345,0.00605103920021047,0.00670915800067092,0.00365853658536585,0.75,0.376404494382022,0.323232323232323,0.466292134831461,0.757575757575758,0.869565217391304,0.130434782608696,104,2.73684210526316
